title_clean,job_count,companies,salary_min,salary_max,skills,company_count,skill_count
"Business Analyst, Data Management",2,['ABEAM CONSULTING (SINGAPORE) PTE. LTD.'],8000,10500,"['Regulatory Compliance', 'Erwin', 'Data Structures', 'Data Management', 'Data Integration', 'Alteryx', 'Data Governance', 'Data Architecture', 'Data Warehousing', 'Japanese', 'Financial Reporting']",1,11
Capacity Engineer,1,['SMART INFORMATION MANAGEMENT SYSTEMS PRIVATE LIMITED'],6000,11000,"['Asset Management', 'Capacity Utilization', 'Analytical Skills', 'Infrastructure Planning', 'Data Center', 'Electric Power', 'Project Management', 'Capacity Planning', 'Capacity Management', 'Space Management', 'Able To Work Independently']",1,11
Collibra Data Lineage Engineer,1,['CYGNIFY PTE. LTD.'],9000,10000,"['Microsoft Enterprise Library', 'Domain Names', 'Talend', 'Airflow', 'Role Modelling', 'Development', 'ETL Tools', 'Informatica', 'Community Relations', 'Data Governance', 'Workflow Development', 'DCM', 'Data Engineering', 'DBT', 'Configuration Control', 'Business Glossary']",1,16
Compliance Analyst,1,['JAC RECRUITMENT PTE. LTD.'],8500,10000,"['Process Audits', 'Standard Operating Procedures', 'Audit and Compliance', 'Data Centre environments', 'Corrective Actions', 'Auditing', 'IT Operations', 'Data Centre Facilities Management', 'Technical Knowledge', 'Systems Assurance', 'Audit Reports', 'Identify process gaps', 'Process Quality Management', 'Data Center Management', 'It Auditing', 'global process management', 'data understanding']",1,17
Consultant,2,"['ANCHOR SEARCH GROUP PTE. LTD.', 'SLALOM CONSULTING SINGAPORE PTE. LTD.']",6300,10800,"['AWS', 'Data Engineering', 'Python', 'Dashboards', 'Talend', 'Data Analysis', 'Service Management', 'Informatica', 'Data Integration', 'Predictive Analytics', 'Open Source', 'SQL', 'Engineering Design', 'Cloud Services', 'Power BI', 'Agile Software Development', 'Snowflake Cloud Data Warehouse', 'Machine Learning', 'Microsoft Azure', 'Security', 'Data Pipeline', 'Azure Cloud Services', 'Data Services Business', 'Advanced Engineering', 'Transformation', 'Databricks', 'MLOps', 'Cloud Infrastructure', 'Feature Engineering', 'GCP', 'Cloud Database', 'Consulting Engineering']",2,32
"Customer Support Manager, Project System Business , Apac",1,['ROLLS-ROYCE SOLUTIONS ASIA PTE. LTD.'],9800,12000,"['Level 2 Support', 'infrastructure issues', 'Power Generation', 'Provides Support', 'Electric power generation and distribution systems', 'Data Centre environments', 'Mechatronics Engineering', 'Electrical', 'Product Commissioning', 'Diesel Engine', 'Services Regional', 'Mechanical', 'Power Generation System Design', 'Control Systems', 'Technical Leadership', 'Education', 'Vendor escalation', 'Data Center Architecture', 'Management']",1,19
Data & AI Engineer (Database Security,1,['SEARCH STAFFING SERVICES PTE. LTD.'],4000,6000,"['Ai', 'Vulnerability Scanning', 'Security Procedures', 'Development Tools', 'Problem Reports', 'Model Training', 'Computer Science', 'Database Security', 'Access Control Management', 'Data Integrity', 'Cybersecurity', 'Business Intelligence (Bi) Tools', 'Data Science', 'Business Reporting', 'Managed Print Services', 'Reporting & Analysis']",1,16
Data & AI Platform Engineer-,1,['ITCAN PTE. LIMITED'],6000,10000,"['Graduate Recruitment', 'Collaborate With Engineers', 'Speech Technology', 'AI Agents', 'Computer Engineering', 'Data Pipeline', 'creating charts', 'Pipeline Development', 'Parsers', 'Large-scale Data Analysis', 'Knowledge Base', 'integrate Data sources', 'Batch Management', 'Self-starter', 'pipeline information', 'Terminology Management']",1,16
Data & AI Solutions Trainee,1,['DXC TECHNOLOGY SERVICES SINGAPORE PTE. LTD.'],1800,2000,"['Machine Learning', 'Ai', 'Model Driven Development', 'Workflow', 'Transformation', 'Extraction', 'Data Quality Assurance', 'Prescriptive Analytics', 'Data Collection', 'Architectural Visualization', 'Universities', 'Presentation Skills', 'Reports', 'Educational Administration', 'ETL Testing', 'Testing']",1,16
Data & Analytics Analyst,1,['AIA INVESTMENT MANAGEMENT PRIVATE LIMITED'],3700,4600,"['Data Quality Checks', 'Dashboards', 'Business Data Analysis', 'Microsoft Excel', 'Analytics and Reporting Services', 'ETL Tools', 'Investment Analysis', 'ETL', 'Databricks', 'Investment Management', 'Business Requirement Analysis', 'Python', 'Power BI', 'Operational Workflow']",1,14
Data & ML Platform Engineer,1,['L3 BUSINESS GROUP PTE. LTD.'],5000,7000,"['TensorFlow', 'Machine Learning', 'Time Series Analysis', 'Apache Spark', 'Kubernetes', 'PostgreSQL', 'Data Pipeline', 'Artificial Intelligence', 'Software Engineering', 'Data Governance', 'Data Engineering', 'PyTorch', 'SQL', 'Python', 'Data Architecture', 'Apache Kafka', 'Docker Container']",1,17
Data / Analytics Engineer,1,['QUESS SELECTION & SERVICES PTE. LTD.'],4500,5000,"['Business Intelligence and Data Analytics', 'Elastic', 'IT Infrastructure Operations', 'Splunk', 'Technical Skills', 'Automated Operation Monitoring', 'Data Pipeline', 'Log Management', 'Monitoring Solutions', 'Incident Reports', 'Data Engineering', 'Log Analysis', 'Design-Build', 'Data Infrastructure', 'Software Integration', 'Data Preparation']",1,16
"Data / Analytics Engineer<ETL,Power BI And SQL>",1,['INFOSTAQ SOLUTIONS PTE. LTD.'],5500,6000,"['Oracle Data Warehouse Etl', 'Analytics Support', 'Customer Payments', 'Role Modelling', 'Data Modelling', 'Splunk', 'Technical Skills', 'Data Pipeline', 'Log Management', 'Operations Research', 'AI Models', 'Data Engineering', 'Software Integration', 'Data Preparation', 'Intelligent Reasoning', 'Industry Experience']",1,16
Data / Backend Engineer,1,['MINDTECK SINGAPORE PTE LTD'],4500,6200,"['API Development', 'MongoDB', 'RESTful API', 'Data Modelling', 'ETL Tools', 'Data Structures', 'ETL specification', 'managing large volumes of data', 'ETL', 'NoSQL', 'Data Engineering', 'Python', 'Rest Apis', 'API', 'Backend Development']",1,15
